Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
The Lovers - Magritte.jpg,Indoors,Private Domain,,Recreation,the Mind,Love,Drama,Vacancy,Detachment,Intimacy,Harmony,,,,,,
The Menaced Assassin - Magritte.jpg,Indoors,Private Domain,,Violence,Recreation,Conflict,Cycle of life,the Mind,Drama,Uneasiness,,,,,,,
The Sacrament of the Last Supper - Dali.jpg,Religious Subgenre,Indoors,Private Domain,Rural Realm,Dining,Communication,Spirituality,Cycle of life,Science,the Mind,Deconstruction,Harmony,Religious,,,,
The Son of Man - Magritte.jpg,Commoner,the Mind,Detachment,Vacancy,Social Consciousness,,,,,,,,,,,,
The Temptation of St Anthony - Dali.jpg,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Conflict,Spirituality,the Mind,Morality,Sexuality,Drama,Strength,Greatness,,,,,
The Treachery of Images - Magritte.jpg,,,,,,,,,,,,,,,,,
The Triumph of Surrealism - Ernst.jpg,Other/Self/Personal,Joy,the Mind,Social Consciousness,Deconstruction,Lively,,,,,,,,,,,
Tilled Field - Miro.jpg,Farm/grassland,Animals,Bountiful/Giving,Spirituality,Social Consciousness,Joy,Lively,Deconstruction,,,,,,,,,
Time Transfixed - Magritte.jpg,Indoors,Private Domain,,,the Mind,,,,,,,,,,,,
Tuna Fishing - Dali.jpg,Outdoors,Public Domain,Rural Realm,Work,Violence,Spirituality,the Mind,Deconstruction,Lively,Drama,Nature Interaction,Uneasiness,,,,,
White Crucifixion - Chagall.jpg,Religious Subgenre,Outdoors,Public Domain,Rural Realm,Religious Action,Conflict,Spirituality,Cycle of life,the Mind,Deconstruction,Strife/Pain,,,,,,
Without Hope - Kahlo.jpg,Other/Self/Personal,Strife/Pain,Ugly,Uneasiness,Isolation,Sadness,,,,,,,,,,,
Woman Old Man and Flower - Ernst.jpg,Outdoors,Public Domain,Rural Realm,,the Mind,Deconstruction,,,,,,,,,,,
Portrait of Max Ernst - Carrington.jpeg,Thinker/Artist,Greatness,Love,Casual,Intimacy,,,,,,,,,,,,
The Broken Column - Kahlo.jpeg,Other/Self/Personal,Power,Strife/Pain,Serious,Confidence,Spirituality,Sexuality,Deconstruction,Strength,,,,,,,,
The Hallucinogenic Toreador - Dali.jpeg,City,,Color,Social Consciousness,Deconstruction,Lively,,,,,,,,,,,
The Robing of the Bride - Ernst.jpeg,Indoors,Private Domain,,Chores,the Body,the Mind,Beauty,Ugly,Sexuality,Texture,,,,,,,
Random0.jpg,Random,,,,,,,,,,,,,,,,
Random1.jpg,Random,,,,,,,,,,,,,,,,
Random10.jpg,Random,,,,,,,,,,,,,,,,
Random11.jpg,Random,,,,,,,,,,,,,,,,
Random12.jpg,Random,,,,,,,,,,,,,,,,
Random13.jpg,Random,,,,,,,,,,,,,,,,
Random14.jpg,Random,,,,,,,,,,,,,,,,
Random15.jpg,Random,,,,,,,,,,,,,,,,
Random16.jpg,Random,,,,,,,,,,,,,,,,
Random17.jpg,Random,,,,,,,,,,,,,,,,
Random18.jpg,Random,,,,,,,,,,,,,,,,
Random19.jpg,Random,,,,,,,,,,,,,,,,
Random2.jpg,Random,,,,,,,,,,,,,,,,
Random20.jpg,Random,,,,,,,,,,,,,,,,
Random21.jpg,Random,,,,,,,,,,,,,,,,
Random22.jpg,Random,,,,,,,,,,,,,,,,
Random23.jpg,Random,,,,,,,,,,,,,,,,
Random24.jpg,Random,,,,,,,,,,,,,,,,
Random25.jpg,Random,,,,,,,,,,,,,,,,
Random26.jpg,Random,,,,,,,,,,,,,,,,
Random27.jpg,Random,,,,,,,,,,,,,,,,
Random28.jpg,Random,,,,,,,,,,,,,,,,
Random29.jpg,Random,,,,,,,,,,,,,,,,
Random3.jpg,Random,,,,,,,,,,,,,,,,
Random30.jpg,Random,,,,,,,,,,,,,,,,
Random31.jpg,Random,,,,,,,,,,,,,,,,
Random32.jpg,Random,,,,,,,,,,,,,,,,
Random33.jpg,Random,,,,,,,,,,,,,,,,
Random34.jpg,Random,,,,,,,,,,,,,,,,
Random35.jpg,Random,,,,,,,,,,,,,,,,
Random36.jpg,Random,,,,,,,,,,,,,,,,
Random37.jpg,Random,,,,,,,,,,,,,,,,
Random38.jpg,Random,,,,,,,,,,,,,,,,
Random39.jpg,Random,,,,,,,,,,,,,,,,
Random4.jpg,Random,,,,,,,,,,,,,,,,
Random40.jpg,Random,,,,,,,,,,,,,,,,
Random41.jpg,Random,,,,,,,,,,,,,,,,
Random42.jpg,Random,,,,,,,,,,,,,,,,
Random43.jpg,Random,,,,,,,,,,,,,,,,
Random44.jpg,Random,,,,,,,,,,,,,,,,
Random45.jpg,Random,,,,,,,,,,,,,,,,
Random46.jpg,Random,,,,,,,,,,,,,,,,
Random47.jpg,Random,,,,,,,,,,,,,,,,
Random48.jpg,Random,,,,,,,,,,,,,,,,
Random5.jpg,Random,,,,,,,,,,,,,,,,
Random6.jpg,Random,,,,,,,,,,,,,,,,
Random7.jpg,Random,,,,,,,,,,,,,,,,
Random8.jpg,Random,,,,,,,,,,,,,,,,
Random9.jpg,Random,,,,,,,,,,,,,,,,
RandomShapes0.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes1.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes10.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes11.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes12.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes13.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes14.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes15.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes16.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes17.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes18.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes19.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes2.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes20.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes21.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes22.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes23.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes24.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes25.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes26.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes27.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes28.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes29.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes3.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes30.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes31.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes32.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes33.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes34.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes35.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes36.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes37.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes38.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes39.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes4.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes40.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes41.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes42.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes43.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes44.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes45.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes46.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes47.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes48.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes5.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes6.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes7.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes8.jpg,Random Shapes,,,,,,,,,,,,,,,,
RandomShapes9.jpg,Random Shapes,,,,,,,,,,,,,,,,
uniform0.jpg,Uniform,,,,,,,,,,,,,,,,
uniform1.jpg,Uniform,,,,,,,,,,,,,,,,
uniform10.jpg,Uniform,,,,,,,,,,,,,,,,
uniform11.jpg,Uniform,,,,,,,,,,,,,,,,
uniform12.jpg,Uniform,,,,,,,,,,,,,,,,
uniform13.jpg,Uniform,,,,,,,,,,,,,,,,
uniform14.jpg,Uniform,,,,,,,,,,,,,,,,
uniform15.jpg,Uniform,,,,,,,,,,,,,,,,
uniform16.jpg,Uniform,,,,,,,,,,,,,,,,
uniform17.jpg,Uniform,,,,,,,,,,,,,,,,
uniform18.jpg,Uniform,,,,,,,,,,,,,,,,
uniform19.jpg,Uniform,,,,,,,,,,,,,,,,
uniform2.jpg,Uniform,,,,,,,,,,,,,,,,
uniform20.jpg,Uniform,,,,,,,,,,,,,,,,
uniform21.jpg,Uniform,,,,,,,,,,,,,,,,
uniform22.jpg,Uniform,,,,,,,,,,,,,,,,
uniform23.jpg,Uniform,,,,,,,,,,,,,,,,
uniform24.jpg,Uniform,,,,,,,,,,,,,,,,
uniform25.jpg,Uniform,,,,,,,,,,,,,,,,
uniform26.jpg,Uniform,,,,,,,,,,,,,,,,
uniform27.jpg,Uniform,,,,,,,,,,,,,,,,
uniform28.jpg,Uniform,,,,,,,,,,,,,,,,
uniform29.jpg,Uniform,,,,,,,,,,,,,,,,
uniform3.jpg,Uniform,,,,,,,,,,,,,,,,
uniform30.jpg,Uniform,,,,,,,,,,,,,,,,
uniform31.jpg,Uniform,,,,,,,,,,,,,,,,
uniform32.jpg,Uniform,,,,,,,,,,,,,,,,
uniform33.jpg,Uniform,,,,,,,,,,,,,,,,
uniform34.jpg,Uniform,,,,,,,,,,,,,,,,
uniform35.jpg,Uniform,,,,,,,,,,,,,,,,
uniform37.jpg,Uniform,,,,,,,,,,,,,,,,
uniform38.jpg,Uniform,,,,,,,,,,,,,,,,
uniform39.jpg,Uniform,,,,,,,,,,,,,,,,
uniform4.jpg,Uniform,,,,,,,,,,,,,,,,
uniform40.jpg,Uniform,,,,,,,,,,,,,,,,
uniform41.jpg,Uniform,,,,,,,,,,,,,,,,
uniform42.jpg,Uniform,,,,,,,,,,,,,,,,
uniform43.jpg,Uniform,,,,,,,,,,,,,,,,
uniform44.jpg,Uniform,,,,,,,,,,,,,,,,
uniform45.jpg,Uniform,,,,,,,,,,,,,,,,
uniform46.jpg,Uniform,,,,,,,,,,,,,,,,
uniform47.jpg,Uniform,,,,,,,,,,,,,,,,
uniform48.jpg,Uniform,,,,,,,,,,,,,,,,
uniform49.jpg,Uniform,,,,,,,,,,,,,,,,
uniform5.jpg,Uniform,,,,,,,,,,,,,,,,
uniform6.jpg,Uniform,,,,,,,,,,,,,,,,
uniform7.jpg,Uniform,,,,,,,,,,,,,,,,
uniform8.jpg,Uniform,,,,,,,,,,,,,,,,
uniform9.jpg,Uniform,,,,,,,,,,,,,,,,
